FISH SPECIES,TOTAL LENGTH,STANDARD LENGTH,HEAD LENGTH,WEIGHT,SEX,PARASITE LOCATION,S.L grp,parasite no,Parasite infection
Auchenoglaris occidentalis,30,27,6.5,415.9,F,NIL,26 - 30cm,0,
Auchenoglaris occidentalis,30.5,27.5,7,416,F,NIL,26 - 30cm,0,
Auchenoglaris occidentalis,29.5,26.5,6.5,415,F,NIL,26 - 30cm,0,
Clarias gariepinus,26.5,23.5,6.5,99.3,J,NIL,21 - 25cm,0,
Clarias gariepinus,26,23,6,99,J,NIL,21 - 25cm,0,
Clarias gariepinus,25.5,22.5,6,100,J,NIL,21 - 25cm,0,
Schilbe uranoscopus,19.5,16.5,3.5,100,J,NIL,0 - 20cm,0,
Schilbe uranoscopus,19,16,3.2,100,J,NIL,0 - 20cm,0,
Schilbe uranoscopus,18.5,15.5,3,105,J,NIL,0 - 20cm,0,
Schilbe uranoscopus,18,15,3,100,J,NIL,0 - 20cm,0,
Schilbe uranoscopus,20,17,3.5,105,J,NIL,0 - 20cm,0,
Schilbe uranoscopus,20.5,17.5,3.5,100,J,NIL,0 - 20cm,0,
Schilbe uranoscopus,19.3,16.3,3,100,J,NIL,0 - 20cm,0,
Schilbe uranoscopus,19.2,16.2,3,100,J,NIL,0 - 20cm,0,
Schilbe uranoscopus,19,16,3.5,100,J,NIL,0 - 20cm,0,
Tilapia zilli,28,25,5,347.7,M,NIL,21 - 25cm,0,
Tilapia zilli,28.5,25.5,5.5,345.5,M,NIL,21 - 25cm,0,
Tilapia zilli,27.5,24.5,4.5,347,M,NIL,21 - 25cm,0,
Ctenopoma kingslaye,16.5,13.5,3.2,106.8,F,GILLS,0 - 20cm,5,Clinostomum tilapiae
Ctenopoma kingslaye,16,13,3.5,106.5,F,NIL,0 - 20cm,0,
Ctenopoma kingslaye,17,14,3,106,F,NIL,0 - 20cm,0,
Polypterus senegalus,24,21,2.5,116.9,F,NIL,21 - 25cm,0,
Polypterus senegalus,24.5,21.5,2.5,116.5,F,NIL,21 - 25cm,0,
Polypterus senegalus,23.5,20.5,2.5,116.4,F,NIL,0 - 20cm,0,
Clarias gariepinus,16.5,13.5,4.5,106.5,F,NIL,0 - 20cm,0,
Clarias gariepinus,16.5,13.5,4,100.8,F,NIL,0 - 20cm,0,
Clarias gariepinus,16,13,4.5,100.5,F,NIL,0 - 20cm,0,
Clarias gariepinus,15.5,12.5,3.5,105.5,F,NIL,0 - 20cm,0,
Clarias gariepinus,15,12,3.5,105,F,NIL,0 - 20cm,0,
Clarias gariepinus,16,13,4.5,106,F,NIL,0 - 20cm,0,
Parachana obscura,23,20,3.5,153.7,M,NIL,0 - 20cm,0,
Parachana obscura,23.5,20.5,4,153.5,M,NIL,0 - 20cm,0,
Parachana obscura,24,21,4.5,153,M,NIL,21 - 25cm,0,
Hepsetus odoe,30,27,3.5,116.9,F,NIL,26 - 30cm,0,
Hepsetus odoe,29.5,26.5,3,116,F,STOMACH,26 - 30cm,3,Procamallanus leaviochus
Hepsetus odoe,30.5,27.5,3.5,116.5,F,NIL,26 - 30cm,0,
Oreochromis niloticus,24.5,21.5,3.5,286.3,F,NIL,21 - 25cm,5,Clinostomum tilapiae
Oreochromis niloticus,23.5,20.5,3,285.3,F,NIL,0 - 20cm,0,
Oreochromis niloticus,24,21,3,285,F,NIL,21 - 25cm,0,
Sarotherodon galileus,29,24,6.5,600,M,NIL,21 - 25cm,0,
Sarotherodon galileus,29.5,24.5,6,605,M,NIL,21 - 25cm,0,
Sarotherodon galileus,30,25,6.5,610,M,NIL,21 - 25cm,0,
Sarotherodon melanoptheron,25,22,3.5,450,F,NIL,21 - 25cm,0,
Sarotherodon melanoptheron,24.5,21.5,3,445,M,NIL,21 - 25cm,0,
Sarotherodon melanoptheron,20,17,4,375,F,NIL,0 - 20cm,0,
Sarotherodon melanoptheron,24,21,3.5,440,F,NIL,21 - 25cm,0,
Sarotherodon melanoptheron,20.5,17.5,3.5,380,M,NIL,0 - 20cm,0,
Sarotherodon melanoptheron,21.5,18.5,4,385,F,NIL,0 - 20cm,0,
Sarotherodon melanoptheron,22.5,19.5,4.5,390,F,NIL,0 - 20cm,0,
Sarotherodon melanoptheron,22,19,4.5,390,M,NIL,0 - 20cm,0,
Sarotherodon melanoptheron,23,20,4,440,F,NIL,0 - 20cm,0,
Oreochromis niloticus,21,18,3.5,325,M,NIL,0 - 20cm,0,
Oreochromis niloticus,21.5,18.5,4,320,M,NIL,0 - 20cm,0,
Oreochromis niloticus,22,19,3,330,M,NIL,0 - 20cm,0,
Hepsetus odoe,26,23,7,200,M,NIL,21 - 25cm,0,
Hepsetus odoe,26.5,23.5,7.5,210,M,NIL,21 - 25cm,0,
Hepsetus odoe,27,24,8,220,M,NIL,21 - 25cm,0,
Tilapia zilli,23,18,5,300,M,NIL,0 - 20cm,0,
Tilapia zilli,24,19,4.5,250,M,NIL,0 - 20cm,0,
Tilapia zilli,23,18,4.5,150,M,NIL,0 - 20cm,0,
Tilapia zilli,20.5,15.5,3.5,150,F,NIL,0 - 20cm,0,
Tilapia zilli,23,18,4,200,M,NIL,0 - 20cm,0,
Tilapia zilli,22,17,4.5,200,M,NIL,0 - 20cm,0,
Tilapia zilli,21,16,4.5,100,F,NIL,0 - 20cm,0,
Tilapia zilli,23,18,5,225,M,NIL,0 - 20cm,0,
Tilapia zilli,21,16,5,200,F,NIL,0 - 20cm,0,
Tilapia zilli,20,15,5.1,150,F,NIL,0 - 20cm,0,
Tilapia zilli,23,18.5,4.5,310,M,NIL,0 - 20cm,0,
Tilapia zilli,24.5,19.5,4,255,M,NIL,0 - 20cm,0,
Tilapia zilli,23.5,18.5,4.5,155,M,NIL,0 - 20cm,0,
Tilapia zilli,21,16,4,155,F,NIL,0 - 20cm,0,
Tilapia zilli,23.5,18.5,5,225,M,NIL,0 - 20cm,0,
Tilapia zilli,22.5,17.5,5.1,225,M,NIL,0 - 20cm,0,
Tilapia zilli,21.5,16.5,4.5,110,F,NIL,0 - 20cm,0,
Tilapia zilli,23.5,18.5,4,110,M,NIL,0 - 20cm,0,
Tilapia zilli,21.5,16.5,3.5,230,F,NIL,0 - 20cm,0,
Tilapia zilli,20.5,15.5,4.5,230,F,NIL,0 - 20cm,0,
Tilapia zilli,22.5,18.5,4,210,M,NIL,0 - 20cm,0,
Tilapia zilli,23.5,19.5,5.1,210,M,NIL,0 - 20cm,0,
Tilapia zilli,23.5,18.5,5,150,M,NIL,0 - 20cm,0,
Tilapia zilli,21,16,4.5,155,F,NIL,0 - 20cm,0,
Tilapia zilli,23.5,18.5,4,150,M,NIL,0 - 20cm,0,
Tilapia zilli,22.5,17.5,3.5,200,M,NIL,0 - 20cm,0,
Tilapia zilli,21.5,16.5,5,175,F,NIL,0 - 20cm,0,
Tilapia zilli,22.5,18.5,5.1,175,M,NIL,0 - 20cm,0,
Tilapia zilli,24,19,4.5,200,F,NIL,0 - 20cm,0,
Tilapia zilli,25.5,20.5,4.5,175,F,NIL,0 - 20cm,0,
Tilapia zilli,24.5,20.5,4.5,370.9,F,GILLS,0 - 20cm,3,Clinostomum tilapiae
Tilapia zilli,23,19,4,213.7,F,INTESTINE,0 - 20cm,4,Cestacanthus
Tilapia zilli,20.5,16.5,3.5,188.7,F,NIL,0 - 20cm,0,
Tilapia zilli,19.5,15.5,3,141.1,M,NIL,0 - 20cm,0,
Tilapia zilli,16.5,12.5,4,86.7,M,NIL,0 - 20cm,0,
Tilapia zilli,24.5,20,4.5,370,F,NIL,0 - 20cm,0,
Tilapia zilli,23.5,19.5,4,213.5,F,NIL,0 - 20cm,0,
Tilapia zilli,20.5,16,4.5,188.5,F,NIL,0 - 20cm,0,
Tilapia zilli,19,15,3.5,141,M,NIL,0 - 20cm,0,
Tilapia zilli,16,12,4,85.5,M,NIL,0 - 20cm,0,
Tilapia zilli,24.5,20.5,4.5,370,F,NIL,0 - 20cm,0,
Tilapia zilli,25,21,3.5,212,F,NIL,21 - 25cm,0,
Tilapia zilli,24,20,4,186,F,NIL,0 - 20cm,0,
Tilapia zilli,21,17,4.5,140.5,M,NIL,0 - 20cm,0,
Tilapia zilli,18.5,14.5,3.5,86.5,M,NIL,0 - 20cm,0,
Oreochromis niloticus,23.5,19.5,3,293.3,M,NIL,0 - 20cm,0,
Oreochromis niloticus,22.5,18.5,3.5,260.1,M,NIL,0 - 20cm,0,
Oreochromis niloticus,17,13,4,104.7,F,NIL,0 - 20cm,0,
Oreochromis niloticus,21,19,3.5,290,M,NIL,0 - 20cm,0,
Oreochromis niloticus,22,18,4,260,M,NIL,0 - 20cm,0,
Oreochromis niloticus,17.5,13.5,4.5,100,F,NIL,0 - 20cm,0,
Oreochromis niloticus,24,20,4.5,285,M,NIL,0 - 20cm,0,
Oreochromis niloticus,23,19,3.5,255,M,NIL,0 - 20cm,0,
Oreochromis niloticus,17,14,3,105.5,F,NIL,0 - 20cm,0,
Sarotherodon galileus,22,18,4,222.8,M,NIL,0 - 20cm,0,
Sarotherodon galileus,22.5,18.5,3.5,220,M,NIL,0 - 20cm,0,
Sarotherodon galileus,23,19,4.5,220.5,M,NIL,0 - 20cm,0,
Chromotilapia guntheri,13,8,4,19.4,F,NIL,0 - 20cm,0,
Chromotilapia guntheri,13.5,8.5,3.5,19,F,NIL,0 - 20cm,0,
Chromotilapia guntheri,14,9,3,18.5,F,NIL,0 - 20cm,0,
Parachana obscura,22,18.5,4.5,98.1,F,NIL,0 - 20cm,0,
Parachana obscura,22.5,18,4,95,F,NIL,0 - 20cm,0,
Parachana obscura,23.5,19,3.5,98.5,F,NIL,0 - 20cm,0,
Hepsetus odoe,27.5,24,3.5,211.3,M,NIL,21 - 25cm,0,
Hepsetus odoe,28,24.5,3,210,M,NIL,21 - 25cm,0,
Hepsetus odoe,28.5,25,4,205,M,NIL,21 - 25cm,0,
Gymnacus sp.,43.5,41,3,167.2,J,NIL,41 - 45cm,0,
Gymnacus sp.,44,40.5,3.5,165,J,NIL,36 - 40cm,0,
Gymnacus sp.,45.5,41.5,3,170.5,J,NIL,41 - 45cm,0,
Clarias gariepinus,27,24.5,3.5,170,J,INTESTINE,21 - 25cm,1,Ligula intestinalis
Clarias gariepinus,27.5,24,4,175,J,NIL,21 - 25cm,0,
Clarias gariepinus,28.5,25,4.5,180.5,J,NIL,21 - 25cm,0,
Clarias gariepinus,41.5,36.5,5,472.4,M,STOMACH,36 - 40cm,1,Polyonchobothrium clarias
Clarias gariepinus,40.5,36,5.5,470,M,STOMACH,36 - 40cm,1,Ligula intestinalis
Clarias gariepinus,42,37,4.5,475,M,NIL,36 - 40cm,0,
Sarotherodon galileus,27,23.5,4,474.9,F,INTESTINE,21 - 25cm,3,Cestacanthus
Sarotherodon galileus,27.5,23,4.5,475,F,NIL,21 - 25cm,0,
Sarotherodon galileus,28.5,24,4.5,480,F,NIL,21 - 25cm,0,
Parachana obscura,24,24,4.5,209.8,J,NIL,21 - 25cm,0,
Parachana obscura,24.5,24.5,3.5,205.5,J,NIL,21 - 25cm,0,
Parachana obscura,25,25,4.5,210,J,NIL,21 - 25cm,0,
Oreochromis niloticus,24.5,21,3.5,336.9,F,INTESTINE,21 - 25cm,1,Lytocestus marcuseni
Oreochromis niloticus,25,21.5,4,330.5,F,NIL,21 - 25cm,0,
Oreochromis niloticus,26.5,22,4.5,335.5,F,NIL,21 - 25cm,0,
Tilapia zilli,17.5,14.5,4.5,114.7,M,NIL,0 - 20cm,0,
Tilapia zilli,17,14,3.5,115,J,NIL,0 - 20cm,0,
Tilapia zilli,17.5,13.5,3,114.5,F,NIL,0 - 20cm,0,
Tilapia zilli,18.5,14,4.5,115.5,M,NIL,0 - 20cm,0,
Tilapia zilli,17.5,14.5,3.5,120.5,J,NIL,0 - 20cm,0,
Tilapia zilli,18,13,4,115.5,F,NIL,0 - 20cm,0,
Tilapia zilli,16.5,12,4.5,70.5,M,INTESTINE,0 - 20cm,1,Cestacanthus
Tilapia zilli,16,12,4,65.5,F,NIL,0 - 20cm,0,
Tilapia zilli,21,16.5,4.5,65,F,NIL,0 - 20cm,0,
Tilapia zilli,16.5,12,3.5,64.5,F,NIL,0 - 20cm,0,
Tilapia zilli,19.5,14.5,4.5,100.5,M,NIL,0 - 20cm,0,
Tilapia zilli,19,14,4,75.5,F,NIL,0 - 20cm,0,
Tilapia zilli,19,13,3.5,70.1,M,NIL,0 - 20cm,0,
Tilapia zilli,18.5,13,4.5,65.5,M,NIL,0 - 20cm,0,
Tilapia zilli,17.5,11.5,4.5,65,F,INTESTINE,0 - 20cm,1,Cestacanthus
Tilapia zilli,16.5,13.5,3.5,90.5,J,NIL,0 - 20cm,0,
Tilapia zilli,15.5,11,3.5,59.8,J,NIL,0 - 20cm,0,
Tilapia zilli,15.5,10.5,4.5,44.2,J,NIL,0 - 20cm,0,
Tilapia zilli,16,11.5,4,60.5,J,NIL,0 - 20cm,0,
Tilapia zilli,15.5,12,3.5,45.5,J,NIL,0 - 20cm,0,
Tilapia zilli,15.5,11,4,40.5,J,NIL,0 - 20cm,0,
Hepsetus odoe,19,15,5,42.6,J,NIL,0 - 20cm,0,
Hepsetus odoe,19.5,15.5,4.5,40.5,J,NIL,0 - 20cm,0,
Hepsetus odoe,21,14.5,5.5,45,J,NIL,0 - 20cm,0,
Oreochromis niloticus,18.5,13,4.5,82.3,F,NIL,0 - 20cm,0,
Oreochromis niloticus,18,13,4,79.1,F,NIL,0 - 20cm,0,
Oreochromis niloticus,18.5,11.5,3.5,61.9,J,NIL,0 - 20cm,0,
Oreochromis niloticus,19,13.5,4.5,80.5,F,NIL,0 - 20cm,0,
Oreochromis niloticus,18.5,13.5,3.5,80,F,NIL,0 - 20cm,0,
Oreochromis niloticus,17.5,12,4,65,J,NIL,0 - 20cm,0,
Oreochromis niloticus,19,14,3.5,85.5,F,NIL,0 - 20cm,0,
Oreochromis niloticus,19,14,3.5,85,F,NIL,0 - 20cm,0,
Oreochromis niloticus,17.5,12.5,3.5,70.5,J,NIL,0 - 20cm,0,
Tilapia zilli,19,15,4.5,118.5,M,NIL,0 - 20cm,0,
Tilapia zilli,19.5,15,4,125.5,J,NIL,0 - 20cm,0,
Tilapia zilli,17,14.5,3.5,120.5,F,NIL,0 - 20cm,0,
Oreochromis niloticus,15.5,12,3.5,77.4,F,NIL,0 - 20cm,0,
Oreochromis niloticus,16,12.5,4.5,70.5,F,NIL,0 - 20cm,0,
Oreochromis niloticus,16.5,13,3.5,75.5,F,NIL,0 - 20cm,0,
Tilapia zilli,16.5,12.5,4,82.7,F,NIL,0 - 20cm,0,
Tilapia zilli,15.5,11.5,4.5,70.1,M,NIL,0 - 20cm,0,
Tilapia zilli,14.5,11,3.5,57.5,F,NIL,0 - 20cm,0,
Tilapia zilli,19.5,15,4.5,56.9,F,NIL,0 - 20cm,0,
Tilapia zilli,15.5,11,4,56.6,F,NIL,0 - 20cm,0,
Tilapia zilli,17.5,13.5,3.5,90.2,M,NIL,0 - 20cm,0,
Tilapia zilli,16.5,12.5,4.5,66.8,F,NIL,0 - 20cm,0,
Tilapia zilli,16,12.5,3.5,64.9,M,NIL,0 - 20cm,0,
Tilapia zilli,15,11.5,4.5,61.8,M,NIL,0 - 20cm,0,
Tilapia zilli,15.5,11,4,59.9,F,NIL,0 - 20cm,0,
Tilapia zilli,16,12,4,80,F,NIL,0 - 20cm,0,
Tilapia zilli,15.5,11,3.5,68.2,M,NIL,0 - 20cm,0,
Tilapia zilli,16,11.5,4.5,60.5,F,NIL,0 - 20cm,0,
Tilapia zilli,21.5,15.5,4.5,60.1,F,NIL,0 - 20cm,0,
Tilapia zilli,16.5,11.5,4,61.2,F,NIL,0 - 20cm,0,
Tilapia zilli,19.5,14,4.5,95,M,NIL,0 - 20cm,0,
Tilapia zilli,16,13,4.5,70.1,F,NIL,0 - 20cm,0,
Tilapia zilli,15.5,12,3.5,65,M,NIL,0 - 20cm,0,
Tilapia zilli,15.5,12,3.5,62.5,M,NIL,0 - 20cm,0,
Tilapia zilli,15,11,4,60.5,F,NIL,0 - 20cm,0,
Oreochromis niloticus,23,20,3,344.9,M,STOMACH,0 - 20cm,3,Lytocestus marcuseni
Oreochromis niloticus,22,18.5,3.5,275.1,M,STOMACH,0 - 20cm,2,Lytocestus marcuseni
Oreochromis niloticus,22.3,18.3,4,267.5,M,INTESTINE,0 - 20cm,2,Lytocestus marcuseni
Oreochromis niloticus,24.5,21,3.5,439.5,M,NIL,21 - 25cm,0,
Oreochromis niloticus,23,19.5,4.5,308.4,F,STOMACH,0 - 20cm,1,Lytocestus marcuseni
Oreochromis niloticus,22,18.5,3.5,258.6,M,NIL,0 - 20cm,0,
Oreochromis niloticus,20,17,3,233,M,INTESTINE,0 - 20cm,2,Lytocestus marcuseni
Oreochromis niloticus,23.5,21.5,3,345,M,INTESTINE,21 - 25cm,3,Lytocestus marcuseni
Oreochromis niloticus,22.5,19,3.5,275.5,M,NIL,0 - 20cm,0,
Oreochromis niloticus,25,21.5,3.5,268,M,NIL,21 - 25cm,0,
Oreochromis niloticus,23,20,3,440,M,NIL,0 - 20cm,0,
Oreochromis niloticus,22.5,19,4.5,310,M,NIL,0 - 20cm,0,
Oreochromis niloticus,22,17.5,4.5,260,F,NIL,0 - 20cm,0,
Oreochromis niloticus,23,19.5,4,235,M,NIL,0 - 20cm,0,
Oreochromis niloticus,21.5,18,3.5,340,M,NIL,0 - 20cm,0,
Oreochromis niloticus,21.5,18,3.5,270,M,NIL,0 - 20cm,0,
Oreochromis niloticus,24,20.5,4.5,260,M,NIL,0 - 20cm,0,
Oreochromis niloticus,23.5,19,4.5,435,M,NIL,0 - 20cm,0,
Oreochromis niloticus,21.5,18,3,300,M,NIL,0 - 20cm,0,
Oreochromis niloticus,20,16.5,4.5,250,F,NIL,0 - 20cm,0,
Oreochromis niloticus,20,16.5,4.5,230,M,NIL,0 - 20cm,0,
Tilapia zilli,21,17.5,4,251.3,M,NIL,0 - 20cm,0,
Tilapia zilli,21,17.5,4.5,248.3,F,NIL,0 - 20cm,0,
Tilapia zilli,19.5,16.5,3,209,F,NIL,0 - 20cm,0,
Tilapia zilli,23,19.5,4.5,282.4,M,NIL,0 - 20cm,0,
Tilapia zilli,20.5,17,4,250,M,NIL,0 - 20cm,0,
Tilapia zilli,20,17,4,250,F,NIL,0 - 20cm,0,
Tilapia zilli,19.5,16,3.5,210,F,NIL,0 - 20cm,0,
Tilapia zilli,22.5,19,3.5,285,M,NIL,0 - 20cm,0,
Tilapia zilli,21.5,18,3.5,255,M,NIL,0 - 20cm,0,
Tilapia zilli,21.5,18,3.5,255,F,NIL,0 - 20cm,0,
Tilapia zilli,20,17,3,215,F,NIL,0 - 20cm,0,
Tilapia zilli,23.5,20,3.5,290,M,NIL,0 - 20cm,0,
Parachana obscura,28,25,3,261.5,M,NIL,21 - 25cm,0,
Parachana obscura,27.5,24,3.5,209.2,F,NIL,21 - 25cm,0,
Parachana obscura,28,25.5,3,265.5,M,NIL,21 - 25cm,0,
Parachana obscura,28,24.5,3.5,210.5,F,NIL,21 - 25cm,0,
Parachana obscura,28,24.5,3.5,260.5,M,NIL,21 - 25cm,0,
Parachana obscura,28,23.5,4.5,205.5,F,NIL,21 - 25cm,0,
Polypterus senegalus,24.5,21,3.5,82.3,F,NIL,21 - 25cm,0,
Polypterus senegalus,24.5,20.5,4.5,80.5,F,NIL,0 - 20cm,0,
Polypterus senegalus,25.5,22,3.5,83.5,F,NIL,21 - 25cm,0,
Polypterus senegalus,22.5,19,3.5,61.3,J,NIL,0 - 20cm,0,
Polypterus senegalus,24.5,21.5,3.5,80,F,NIL,21 - 25cm,0,
Polypterus senegalus,25,21,4.5,75.5,F,NIL,21 - 25cm,0,
Polypterus senegalus,26,22.5,3.5,80.5,F,NIL,21 - 25cm,0,
Polypterus senegalus,23,19.5,3.5,60.5,J,NIL,0 - 20cm,0,
Polypterus senegalus,24,20.5,3.5,85,F,NIL,0 - 20cm,0,
Polypterus senegalus,24,20,4,85.5,F,NIL,0 - 20cm,0,
Polypterus senegalus,25,21.5,3.5,88,F,NIL,21 - 25cm,0,
Polypterus senegalus,22,18.5,3.5,66,J,NIL,0 - 20cm,0,
Oreochromis niloticus,15,12,3,69.5,J,NIL,0 - 20cm,0,
Oreochromis niloticus,15.5,12.5,3.5,70,J,NIL,0 - 20cm,0,
Oreochromis niloticus,14.5,11.5,3,65,J,NIL,0 - 20cm,0,
Tilapia zilli,13,9.5,3.5,37.3,J,NIL,0 - 20cm,0,
Tilapia zilli,12,8.5,4.5,33.9,J,NIL,0 - 20cm,0,
Tilapia zilli,12,8.5,4.5,28.6,J,NIL,0 - 20cm,0,
Tilapia zilli,13,9,4,31.6,J,NIL,0 - 20cm,0,
Tilapia zilli,13,9,4,33.8,J,NIL,0 - 20cm,0,
Tilapia zilli,12.5,8.5,3.5,30.8,J,NIL,0 - 20cm,0,
Tilapia zilli,13,9,4,30.2,J,NIL,0 - 20cm,0,
Tilapia zilli,13,9,4,37,J,NIL,0 - 20cm,0,
Tilapia zilli,11.5,8,3.5,33,J,NIL,0 - 20cm,0,
Tilapia zilli,11.5,8,3.5,28,J,NIL,0 - 20cm,0,
Tilapia zilli,12,8.5,3.5,31,J,NIL,0 - 20cm,0,
Tilapia zilli,12,8.5,3.5,33,J,NIL,0 - 20cm,0,
Tilapia zilli,11.5,8,3.5,30,J,NIL,0 - 20cm,0,
Tilapia zilli,12,8.5,3.5,30,J,NIL,0 - 20cm,0,
Tilapia zilli,13.5,10,3.5,37.5,J,NIL,0 - 20cm,0,
Tilapia zilli,13,9,4,34,J,NIL,0 - 20cm,0,
Tilapia zilli,12.5,9,3.5,29.5,J,NIL,0 - 20cm,0,
Tilapia zilli,13,9.5,3.5,35,J,NIL,0 - 20cm,0,
Tilapia zilli,13,9.5,3,38,J,NIL,0 - 20cm,0,
Tilapia zilli,13,9,4,35,J,NIL,0 - 20cm,0,
Tilapia zilli,13,9.5,4.5,35,J,NIL,0 - 20cm,0,
Tilapia zilli,25.4,20.1,5.5,291,M,GILLS,0 - 20cm,5,Learnaea cyprinacea
Tilapia zilli,25,20,4.5,290,M,NIL,0 - 20cm,0,
Tilapia zilli,24.5,20.5,4,285,M,NIL,0 - 20cm,0,
Oreochromis niloticus,32.5,27.5,8.5,737,M,NIL,26 - 30cm,0,
Oreochromis niloticus,30,27,7,735,M,NIL,26 - 30cm,0,
Oreochromis niloticus,32.5,26.5,7.5,740,M,NIL,26 - 30cm,0,
Sarotherodon galileus,29.2,24,6.5,664,M,NIL,21 - 25cm,0,
Sarotherodon galileus,28.5,24.5,6,670,M,NIL,21 - 25cm,0,
Sarotherodon galileus,30,23.5,7,660,M,NIL,21 - 25cm,0,
Gymnacus sp.,40.5,34.5,6,138.6,M,NIL,31 -35cm,0,
Gymnacus sp.,40,34,6.5,135.5,M,NIL,31 -35cm,0,
Gymnacus sp.,35.5,33.5,6,130,M,NIL,31 -35cm,0,
Hepsetus odoe,21,17,5,60,J,NIL,0 - 20cm,0,
Hepsetus odoe,20.5,16,4,55.2,J,NIL,0 - 20cm,0,
Hepsetus odoe,21.5,17.5,5.5,65,J,NIL,0 - 20cm,0,
Hepsetus odoe,21,16.5,4.5,60,J,NIL,0 - 20cm,0,
Hepsetus odoe,20.5,16.5,4.5,55,J,NIL,0 - 20cm,0,
Hepsetus odoe,20,15.5,3.5,50,J,NIL,0 - 20cm,0,
Parachana obscura,20,17,5,67.8,J,NIL,0 - 20cm,0,
Parachana obscura,20.5,17.5,5.5,70,J,NIL,0 - 20cm,0,
Parachana obscura,19.5,16.5,4.5,75,J,NIL,0 - 20cm,0,
Polypterus senegalus,29.3,26,3.5,143.6,J,NIL,26 - 30cm,0,
Polypterus senegalus,24.2,21.2,2.5,77.9,J,NIL,21 - 25cm,0,
Polypterus senegalus,26.3,23.4,2.5,108,F,NIL,21 - 25cm,0,
Polypterus senegalus,27.2,24,2.9,120.4,F,NIL,21 - 25cm,0,
Polypterus senegalus,27.1,24,3,112.7,F,NIL,21 - 25cm,0,
Polypterus senegalus,27.1,24,3,119.4,F,NIL,21 - 25cm,0,
Polypterus senegalus,29,26.5,3,140,J,NIL,26 - 30cm,0,
Polypterus senegalus,24,21.5,2,75,J,NIL,0 - 20cm,0,
Polypterus senegalus,26,23.5,2,105,F,NIL,21 - 25cm,0,
Polypterus senegalus,27,24.5,2.5,115,F,NIL,21 - 25cm,0,
Polypterus senegalus,27,24.5,2.5,110,F,NIL,21 - 25cm,0,
Polypterus senegalus,27,24.5,2.5,115,F,NIL,21 - 25cm,0,
Polypterus senegalus,30,26,4,145,J,NIL,26 - 30cm,0,
Polypterus senegalus,25.5,21,3,80,J,NIL,21 - 25cm,0,
Polypterus senegalus,27,23,3,115,F,NIL,21 - 25cm,0,
Polypterus senegalus,28,24,3,125,F,NIL,21 - 25cm,0,
Polypterus senegalus,28,24,3.5,115,F,NIL,21 - 25cm,0,
Polypterus senegalus,28,24,3.5,125,F,NIL,21 - 25cm,0,
Tilapia zilli,14.5,11.5,3,164.3,J,NIL,0 - 20cm,0,
Tilapia zilli,14,11,3,60,F,NIL,0 - 20cm,0,
Tilapia zilli,14,11,3,160,J,NIL,0 - 20cm,0,
Tilapia zilli,13.5,10.5,3,55,F,NIL,0 - 20cm,0,
Tilapia zilli,15,12,3,170,J,NIL,0 - 20cm,0,
Tilapia zilli,14.5,11.5,3,65,F,NIL,0 - 20cm,0,
Chromotilapia guntheri,14.5,11,3.2,43,J,NIL,0 - 20cm,0,
Chromotilapia guntheri,14,10.5,3.5,50.3,J,NIL,0 - 20cm,0,
Chromotilapia guntheri,14,10.5,3,40,J,NIL,0 - 20cm,0,
Chromotilapia guntheri,13.5,10,3,45,J,NIL,0 - 20cm,0,
Chromotilapia guntheri,15,11.5,3.5,45,J,NIL,0 - 20cm,0,
Chromotilapia guntheri,14.5,11,4.5,55,J,NIL,0 - 20cm,0,
Hemichromis faciatus,11,9.2,3,37.2,J,NIL,0 - 20cm,0,
Hemichromis faciatus,16.5,13,3.5,85.4,J,NIL,0 - 20cm,0,
Hemichromis faciatus,15.5,12.3,3.5,65.5,J,NIL,0 - 20cm,0,
Hemichromis faciatus,15.7,12.5,4,74.6,J,NIL,0 - 20cm,0,
Hemichromis faciatus,13.9,11,3,57.7,J,NIL,0 - 20cm,0,
Hemichromis faciatus,15,11.5,3,62.9,J,NIL,0 - 20cm,0,
Hemichromis faciatus,13.7,10.2,3.2,59.6,J,NIL,0 - 20cm,0,
Hemichromis faciatus,15.5,12.5,3.5,77.1,J,NIL,0 - 20cm,0,
Hemichromis faciatus,13.8,11,2.5,66.2,J,NIL,0 - 20cm,0,
Hemichromis faciatus,13,10.1,3.1,52.1,J,NIL,0 - 20cm,0,
Hemichromis faciatus,12,10,3,38.2,J,NIL,0 - 20cm,0,
Hemichromis faciatus,13,10.2,3,36.4,J,NIL,0 - 20cm,0,
Hemichromis faciatus,10.5,10.5,3,40,J,NIL,0 - 20cm,0,
Hemichromis faciatus,16,12.5,3,50,J,NIL,0 - 20cm,0,
Hemichromis faciatus,15,12,2.5,35.2,J,NIL,0 - 20cm,0,
Hemichromis faciatus,15,12,3,80.4,J,NIL,0 - 20cm,0,
Hemichromis faciatus,13,10.5,3,60.5,J,NIL,0 - 20cm,0,
Hemichromis faciatus,14.5,11,3.5,70.6,J,NIL,0 - 20cm,0,
Hemichromis faciatus,13.5,10,2.5,52.7,J,NIL,0 - 20cm,0,
Hemichromis faciatus,15,12,2.5,55.9,J,NIL,0 - 20cm,0,
Hemichromis faciatus,13.5,10.5,3,55.6,J,NIL,0 - 20cm,0,
Hemichromis faciatus,12.5,9.5,3,74.1,J,NIL,0 - 20cm,0,
